"event","top_inning","batter_name","date"
"Double","N","Daniel Murphy","2012-06-02"
"Strikeout","N","Ike Davis","2012-06-02"
"Intent Walk","N","Omar Quintanilla","2012-06-02"
"Forceout","N","Josh Thole","2012-06-02"
"Groundout","N","R.A. Dickey","2012-06-02"
"Strikeout","Y","Adron Chambers","2012-06-02"
"Strikeout","Y","Shane Robinson","2012-06-02"
"Strikeout","Y","Tyler Greene","2012-06-02"
"Groundout","N","Kirk Nieuwenhuis","2012-06-02"
"Strikeout","N","Andres Torres","2012-06-02"
"Home Run","N","David Wright","2012-06-02"
"Strikeout","N","Lucas Duda","2012-06-02"
"Single","Y","Rafael Furcal","2012-06-02"
"Single","Y","Daniel Descalso","2012-06-02"
"Grounded Into DP","Y","Matt Holliday","2012-06-02"
"Lineout","Y","Carlos Beltran","2012-06-02"
"Walk","Y","Ian Kinsler","2012-06-02"
"Grounded Into DP","Y","Elvis Andrus","2012-06-02"
"Walk","Y","Josh Hamilton","2012-06-02"
"Strikeout","Y","Adrian Beltre","2012-06-02"
"Field Error","N","Mike Trout","2012-06-02"
"Lineout","N","Alberto Callaspo","2012-06-02"
"Pop Out","N","Albert Pujols","2012-06-02"
"Groundout","N","Kendry Morales","2012-06-02"
"Groundout","N","Kendrys Morales","2012-06-02"
"Groundout","Y","Michael Young","2012-06-02"
"Double","Y","Nelson Cruz","2012-06-02"
"Walk","Y","Mike Napoli","2012-06-02"
"Grounded Into DP","Y","Yorvit Torrealba","2012-06-02"
"Strikeout","N","Mark Trumbo","2012-06-02"
"Flyout","N","Torii Hunter","2012-06-02"
"Groundout","N","Howie Kendrick","2012-06-02"
"Groundout","N","Howard Kendrick","2012-06-02"
"Single","Y","Craig Gentry","2012-06-02"
"Grounded Into DP","Y","Ian Kinsler","2012-06-02"
"Single","Y","Elvis Andrus","2012-06-02"
"Groundout","Y","Josh Hamilton","2012-06-02"
"Flyout","N","Erick Aybar","2012-06-02"
"Strikeout","N","Bobby Wilson","2012-06-02"
"Lineout","N","Mike Trout","2012-06-02"
"Strikeout","Y","Adrian Beltre","2012-06-02"
"Single","Y","Michael Young","2012-06-02"
"Strikeout - DP","Y","Nelson Cruz","2012-06-02"
"Single","N","Alberto Callaspo","2012-06-02"
"Walk","N","Albert Pujols","2012-06-02"
"Flyout","N","Kendry Morales","2012-06-02"
"Flyout","N","Kendrys Morales","2012-06-02"
"Flyout","N","Mark Trumbo","2012-06-02"
"Walk","N","Torii Hunter","2012-06-02"
"Groundout","N","Howie Kendrick","2012-06-02"
"Groundout","N","Howard Kendrick","2012-06-02"
"Strikeout","Y","Mike Napoli","2012-06-02"
"Double","Y","Yorvit Torrealba","2012-06-02"
"Flyout","Y","Craig Gentry","2012-06-02"
"Pop Out","Y","Ian Kinsler","2012-06-02"
"Groundout","N","Erick Aybar","2012-06-02"
"Strikeout","N","Bobby Wilson","2012-06-02"
"Double","N","Mike Trout","2012-06-02"
"Groundout","N","Alberto Callaspo","2012-06-02"
"Flyout","Y","Elvis Andrus","2012-06-02"
"Groundout","Y","Josh Hamilton","2012-06-02"
"Strikeout","Y","Adrian Beltre","2012-06-02"
"Single","N","Albert Pujols","2012-06-02"
"Strikeout","N","Kendry Morales","2012-06-02"
"Strikeout","N","Kendrys Morales","2012-06-02"
"Field Error","N","Mark Trumbo","2012-06-02"
"Strikeout","N","Torii Hunter","2012-06-02"
"Strikeout","N","Howie Kendrick","2012-06-02"
"Strikeout","N","Howard Kendrick","2012-06-02"
"Walk","Y","Michael Young","2012-06-02"
"Single","Y","Nelson Cruz","2012-06-02"
"Walk","Y","Mike Napoli","2012-06-02"
"Forceout","Y","Yorvit Torrealba","2012-06-02"
"Sac Fly","Y","David Murphy","2012-06-02"
"Forceout","Y","Ian Kinsler","2012-06-02"
"Single","N","Erick Aybar","2012-06-02"
"Strikeout","N","Bobby Wilson","2012-06-02"
"Single","N","Mike Trout","2012-06-02"
"Single","N","Alberto Callaspo","2012-06-02"
"Walk","N","Albert Pujols","2012-06-02"
"Sac Fly","N","Kendry Morales","2012-06-02"
"Sac Fly","N","Kendrys Morales","2012-06-02"
"Flyout","N","Mark Trumbo","2012-06-02"
"Walk","Y","Elvis Andrus","2012-06-02"
"Strikeout","Y","Josh Hamilton","2012-06-02"
"Strikeout","Y","Adrian Beltre","2012-06-02"
"Single","Y","Michael Young","2012-06-02"
"Strikeout","Y","Nelson Cruz","2012-06-02"
"Groundout","N","Torii Hunter","2012-06-02"
"Single","N","Howie Kendrick","2012-06-02"
"Single","N","Howard Kendrick","2012-06-02"
"Flyout","N","Erick Aybar","2012-06-02"
"Groundout","N","Bobby Wilson","2012-06-02"
"Single","Y","Mike Napoli","2012-06-02"
"Strikeout","Y","Mitchell Moreland","2012-06-02"
"Strikeout","Y","Mitch Moreland","2012-06-02"
"Pop Out","Y","David Murphy","2012-06-02"
"Walk","Y","Ian Kinsler","2012-06-02"
"Field Error","Y","Elvis Andrus","2012-06-02"
"Strikeout","Y","Josh Hamilton","2012-06-02"
"Single","Y","Ryan Roberts","2012-06-03"
"Single","Y","Ryan Roberts","2012-06-03"
"Strikeout","Y","Jason Kubel","2012-06-03"
"Strikeout","Y","Jason Kubel","2012-06-03"
"Grounded Into DP","Y","Justin Upton","2012-06-03"
"Grounded Into DP","Y","Justin Upton","2012-06-03"
"Groundout","N","Will Venable","2012-06-03"
"Single","N","Mark Kotsay","2012-06-03"
"Pop Out","N","Yonder Alonso","2012-06-03"
"Walk","N","Chase Headley","2012-06-03"
"Strikeout","N","Jesus Guzman","2012-06-03"
"Groundout","Y","Miguel Montero","2012-06-03"
"Groundout","Y","Miguel Montero","2012-06-03"
"Home Run","Y","Paul Goldschmidt","2012-06-03"
"Home Run","Y","Paul Goldschmidt","2012-06-03"
"Pop Out","Y","Joshua Bell","2012-06-03"
"Pop Out","Y","Joshua Bell","2012-06-03"
"Pop Out","Y","Josh Bell","2012-06-03"
"Pop Out","Y","Josh Bell","2012-06-03"
"Groundout","Y","Gerardo Parra","2012-06-03"
"Groundout","Y","Gerardo Parra","2012-06-03"
"Single","N","John Baker","2012-06-03"
"Grounded Into DP","N","Logan Forsythe","2012-06-03"
"Strikeout","N","Everth Cabrera","2012-06-03"
"Groundout","Y","John McDonald","2012-06-03"
"Groundout","Y","John McDonald","2012-06-03"
"Strikeout","Y","Trevor Cahill","2012-06-03"
"Strikeout","Y","Trevor Cahill","2012-06-03"
"Groundout","Y","Ryan Roberts","2012-06-03"
"Groundout","Y","Ryan Roberts","2012-06-03"
"Groundout","N","Eric Stults","2012-06-03"
"Groundout","N","","2012-06-03"
"Groundout","N","Chris Denorfia","2012-06-03"
"Double","N","Mark Kotsay","2012-06-03"
"Strikeout","N","Yonder Alonso","2012-06-03"
"Strikeout","Y","Jason Kubel","2012-06-03"
"Strikeout","Y","Jason Kubel","2012-06-03"
"Flyout","Y","Justin Upton","2012-06-03"
"Flyout","Y","Justin Upton","2012-06-03"
"Strikeout","Y","Miguel Montero","2012-06-03"
"Strikeout","Y","Miguel Montero","2012-06-03"
"Groundout","N","Chase Headley","2012-06-03"
"Strikeout","N","Jesus Guzman","2012-06-03"
"Flyout","N","John Baker","2012-06-03"
"Walk","Y","Paul Goldschmidt","2012-06-03"
"Walk","Y","Paul Goldschmidt","2012-06-03"
"Flyout","Y","Joshua Bell","2012-06-03"
"Flyout","Y","Joshua Bell","2012-06-03"
"Flyout","Y","Josh Bell","2012-06-03"
"Flyout","Y","Josh Bell","2012-06-03"
"Pop Out","Y","Gerardo Parra","2012-06-03"
"Pop Out","Y","Gerardo Parra","2012-06-03"
"Pop Out","Y","John McDonald","2012-06-03"
"Pop Out","Y","John McDonald","2012-06-03"
"Triple","N","Logan Forsythe","2012-06-03"
"Groundout","N","Everth Cabrera","2012-06-03"
"Strikeout","N","Eric Stults","2012-06-03"
"Strikeout","N","","2012-06-03"
"Groundout","Y","Trevor Cahill","2012-06-03"
"Groundout","Y","Trevor Cahill","2012-06-03"
"Single","Y","Ryan Roberts","2012-06-03"
"Single","Y","Ryan Roberts","2012-06-03"
"Sac Fly","Y","Jason Kubel","2012-06-03"
"Sac Fly","Y","Jason Kubel","2012-06-03"
"Single","Y","Justin Upton","2012-06-03"
"Single","Y","Justin Upton","2012-06-03"
"Home Run","Y","Miguel Montero","2012-06-03"
"Home Run","Y","Miguel Montero","2012-06-03"
"Groundout","Y","Paul Goldschmidt","2012-06-03"
"Groundout","Y","Paul Goldschmidt","2012-06-03"
"Groundout","N","Chris Denorfia","2012-06-03"
"Walk","N","Mark Kotsay","2012-06-03"
"Grounded Into DP","N","Yonder Alonso","2012-06-03"
"Walk","Y","Joshua Bell","2012-06-03"
"Walk","Y","Joshua Bell","2012-06-03"
"Walk","Y","Josh Bell","2012-06-03"
"Walk","Y","Josh Bell","2012-06-03"
"Home Run","Y","Gerardo Parra","2012-06-03"
"Home Run","Y","Gerardo Parra","2012-06-03"
"Groundout","Y","John McDonald","2012-06-03"
"Groundout","Y","John McDonald","2012-06-03"
"Single","Y","Trevor Cahill","2012-06-03"
"Single","Y","Trevor Cahill","2012-06-03"
"Strikeout","Y","Ryan Roberts","2012-06-03"
"Flyout","Y","Jason Kubel","2012-06-03"
"Single","N","Chase Headley","2012-06-03"
"Grounded Into DP","N","Jesus Guzman","2012-06-03"
"Groundout","N","John Baker","2012-06-03"
"Groundout","Y","Justin Upton","2012-06-03"
"Groundout","Y","Miguel Montero","2012-06-03"
"Single","Y","Paul Goldschmidt","2012-06-03"
"Strikeout","Y","Joshua Bell","2012-06-03"
"Strikeout","Y","Josh Bell","2012-06-03"
"Double","N","Logan Forsythe","2012-06-03"
"Walk","N","Everth Cabrera","2012-06-03"
"Flyout","N","Alexi Amarista","2012-06-03"
"Grounded Into DP","N","Chris Denorfia","2012-06-03"
"Groundout","Y","Gerardo Parra","2012-06-03"
"Flyout","Y","John McDonald","2012-06-03"
"Strikeout","Y","Trevor Cahill","2012-06-03"
"Groundout","N","Mark Kotsay","2012-06-03"
"Groundout","N","Yonder Alonso","2012-06-03"
"Groundout","N","Chase Headley","2012-06-03"
"Single","Y","Michael Bourn","2012-06-03"
"Strikeout","Y","Martin Prado","2012-06-03"
"Flyout","Y","Frederick Freeman","2012-06-03"
"Flyout","Y","Freddie Freeman","2012-06-03"
"Flyout","Y","Dan Uggla","2012-06-03"
"Home Run","N","Stephen Lombardozzi","2012-06-03"
"Home Run","N","Steve Lombardozzi","2012-06-03"
"Home Run","N","Bryce Harper","2012-06-03"
"Groundout","N","Ryan Zimmerman","2012-06-03"
"Flyout","N","Adam LaRoche","2012-06-03"
"Strikeout","N","Mike Morse","2012-06-03"
"Strikeout","N","Michael Morse","2012-06-03"
"Groundout","Y","Matt Diaz","2012-06-03"
"Lineout","Y","Jason Heyward","2012-06-03"
"Single","Y","David Ross","2012-06-03"
"Double","Y","Andrelton Simmons","2012-06-03"
"Strikeout","Y","Tommy Hanson","2012-06-03"
"Pop Out","N","Ian Desmond","2012-06-03"
"Single","N","Danny Espinosa","2012-06-03"
"Single","N","Jesus Flores","2012-06-03"
"Sac Bunt","N","Gio Gonzalez","2012-06-03"
"Flyout","N","Stephen Lombardozzi","2012-06-03"
"Flyout","N","Steve Lombardozzi","2012-06-03"
"Strikeout","Y","Michael Bourn","2012-06-03"
"Single","Y","Martin Prado","2012-06-03"
"Strikeout","Y","Frederick Freeman","2012-06-03"
"Strikeout","Y","Freddie Freeman","2012-06-03"
"Double","Y","Dan Uggla","2012-06-03"
"Lineout","Y","Matt Diaz","2012-06-03"
"Pop Out","N","Bryce Harper","2012-06-03"
"Groundout","N","Ryan Zimmerman","2012-06-03"
"Field Error","N","Adam LaRoche","2012-06-03"
"Strikeout","N","Mike Morse","2012-06-03"
"Strikeout","N","Michael Morse","2012-06-03"
"Flyout","Y","Jason Heyward","2012-06-03"
"Walk","Y","David Ross","2012-06-03"
"Flyout","Y","Andrelton Simmons","2012-06-03"
"Lineout","Y","Tommy Hanson","2012-06-03"
"Flyout","N","Ian Desmond","2012-06-03"
"Double","N","Danny Espinosa","2012-06-03"
"Strikeout","N","Jesus Flores","2012-06-03"
"Strikeout","N","Gio Gonzalez","2012-06-03"
"Single","Y","Michael Bourn","2012-06-03"
"Pop Out","Y","Martin Prado","2012-06-03"
"Strikeout","Y","Frederick Freeman","2012-06-03"
"Strikeout","Y","Freddie Freeman","2012-06-03"
"Intent Walk","Y","Dan Uggla","2012-06-03"
"Walk","Y","Matt Diaz","2012-06-03"
"Single","Y","Jason Heyward","2012-06-03"
"Walk","Y","David Ross","2012-06-03"
"Pop Out","Y","Andrelton Simmons","2012-06-03"
"Groundout","N","Stephen Lombardozzi","2012-06-03"
"Groundout","N","Steve Lombardozzi","2012-06-03"
"Double","N","Bryce Harper","2012-06-03"
"Lineout","N","Ryan Zimmerman","2012-06-03"
"Strikeout","Y","Tommy Hanson","2012-06-03"
"Flyout","Y","Michael Bourn","2012-06-03"
"Pop Out","Y","Martin Prado","2012-06-03"
"Strikeout","N","Adam LaRoche","2012-06-03"
"Lineout","N","Mike Morse","2012-06-03"
"Lineout","N","Michael Morse","2012-06-03"
"Pop Out","N","Ian Desmond","2012-06-03"
"Groundout","Y","Frederick Freeman","2012-06-03"
"Groundout","Y","Freddie Freeman","2012-06-03"
"Flyout","Y","Dan Uggla","2012-06-03"
"Strikeout","Y","Matt Diaz","2012-06-03"
"Groundout","N","Danny Espinosa","2012-06-03"
"Flyout","N","Jesus Flores","2012-06-03"
"Strikeout","N","Rick Ankiel","2012-06-03"
"Flyout","Y","Jason Heyward","2012-06-03"
"Flyout","Y","Jason Heyward","2012-06-03"
"Flyout","Y","Jason Heyward","2012-06-03"
"Single","Y","David Ross","2012-06-03"
"Single","Y","David Ross","2012-06-03"
"Single","Y","David Ross","2012-06-03"
"Grounded Into DP","Y","Andrelton Simmons","2012-06-03"
"Grounded Into DP","Y","Andrelton Simmons","2012-06-03"
"Grounded Into DP","Y","Andrelton Simmons","2012-06-03"
"Walk","N","Stephen Lombardozzi","2012-06-03"
"Walk","N","Steve Lombardozzi","2012-06-03"
"Walk","N","Bryce Harper","2012-06-03"
"Grounded Into DP","N","Ryan Zimmerman","2012-06-03"
"Flyout","N","Adam LaRoche","2012-06-03"
"Groundout","Y","Jose Constanza","2012-06-03"
"Groundout","Y","Michael Bourn","2012-06-03"
"Single","Y","Martin Prado","2012-06-03"
"Strikeout","Y","Frederick Freeman","2012-06-03"
"Strikeout","Y","Freddie Freeman","2012-06-03"
"Strikeout","N","Mike Morse","2012-06-03"
"Strikeout","N","Michael Morse","2012-06-03"
"Strikeout","N","Ian Desmond","2012-06-03"
"Strikeout","N","Danny Espinosa","2012-06-03"
"Strikeout","Y","Robert Andino","2012-06-03"
"Groundout","Y","Endy Chavez","2012-06-03"
"Single","Y","J.J. Hardy","2012-06-03"
"Flyout","Y","Adam Jones","2012-06-03"
"Flyout","N","Carlos Pena","2012-06-03"
"Flyout","N","B.J. Upton","2012-06-03"
"Flyout","N","Matthew Joyce","2012-06-03"
"Flyout","N","Matt Joyce","2012-06-03"
"Home Run","Y","Matt Wieters","2012-06-03"
"Single","Y","Mark Reynolds","2012-06-03"
"Walk","Y","Ronny Paulino","2012-06-03"
"Flyout","Y","Steve Pearce","2012-06-03"
"Strikeout","Y","Steven Tolleson","2012-06-03"
"Strikeout","Y","Steve Tolleson","2012-06-03"
"Strikeout","Y","Robert Andino","2012-06-03"
"Strikeout","N","Ben Zobrist","2012-06-03"
"Strikeout","N","Luke Scott","2012-06-03"
"Groundout","N","Hideki Matsui","2012-06-03"
"Groundout","Y","Endy Chavez","2012-06-03"
"Groundout","Y","J.J. Hardy","2012-06-03"
"Single","Y","Adam Jones","2012-06-03"
"Single","Y","Matt Wieters","2012-06-03"
"Flyout","Y","Mark Reynolds","2012-06-03"
"Groundout","N","William Rhymes","2012-06-03"
"Groundout","N","Will Rhymes","2012-06-03"
"Strikeout","N","Elliot Johnson","2012-06-03"
"Groundout","N","Jose Molina","2012-06-03"
"Groundout","Y","Ronny Paulino","2012-06-03"
"Flyout","Y","Steve Pearce","2012-06-03"
"Walk","Y","Steven Tolleson","2012-06-03"
"Walk","Y","Steve Tolleson","2012-06-03"
"Pop Out","Y","Robert Andino","2012-06-03"
"Walk","N","Carlos Pena","2012-06-03"
"Single","N","B.J. Upton","2012-06-03"
"Sac Fly","N","Matthew Joyce","2012-06-03"
"Sac Fly","N","Matt Joyce","2012-06-03"
"Groundout","N","Ben Zobrist","2012-06-03"
"Pop Out","N","Luke Scott","2012-06-03"
"Field Error","Y","Endy Chavez","2012-06-03"
"Lineout","Y","J.J. Hardy","2012-06-03"
"Groundout","Y","Adam Jones","2012-06-03"
"Walk","Y","Matt Wieters","2012-06-03"
"Single","Y","Mark Reynolds","2012-06-03"
"Pop Out","Y","Ronny Paulino","2012-06-03"
"Flyout","N","Hideki Matsui","2012-06-03"
"Walk","N","William Rhymes","2012-06-03"
"Walk","N","Will Rhymes","2012-06-03"
"Walk","N","Elliot Johnson","2012-06-03"
"Forceout","N","Jose Molina","2012-06-03"
"Walk","N","Carlos Pena","2012-06-03"
"Double","N","B.J. Upton","2012-06-03"
"Strikeout","N","Matthew Joyce","2012-06-03"
"Strikeout","N","Matt Joyce","2012-06-03"
"Single","Y","Steve Pearce","2012-06-03"
"Grounded Into DP","Y","Steven Tolleson","2012-06-03"
"Grounded Into DP","Y","Steve Tolleson","2012-06-03"
"Strikeout","Y","Robert Andino","2012-06-03"
"Double","N","Ben Zobrist","2012-06-03"
"Groundout","N","Luke Scott","2012-06-03"
"Single","N","Hideki Matsui","2012-06-03"
"Single","N","Sean Rodriguez","2012-06-03"
"Single","N","Elliot Johnson","2012-06-03"
"Field Error","N","Jose Molina","2012-06-03"
"Sac Fly","N","Carlos Pena","2012-06-03"
"Groundout","N","B.J. Upton","2012-06-03"
"Flyout","Y","Endy Chavez","2012-06-03"
"Flyout","Y","Endy Chavez","2012-06-03"
"Single","Y","J.J. Hardy","2012-06-03"
"Single","Y","J.J. Hardy","2012-06-03"
"Groundout","Y","Adam Jones","2012-06-03"
"Groundout","Y","Adam Jones","2012-06-03"
"Strikeout","Y","Matt Wieters","2012-06-03"
"Strikeout","Y","Matt Wieters","2012-06-03"
"Strikeout","N","Matthew Joyce","2012-06-03"
"Strikeout","N","Matt Joyce","2012-06-03"
"Strikeout","N","Ben Zobrist","2012-06-03"
"Groundout","N","Luke Scott","2012-06-03"
"Home Run","Y","Mark Reynolds","2012-06-03"
"Strikeout","Y","Ronny Paulino","2012-06-03"
"Strikeout","Y","Steve Pearce","2012-06-03"
"Strikeout","Y","Steven Tolleson","2012-06-03"
"Strikeout","Y","Steve Tolleson","2012-06-03"
"Groundout","N","Rich Thompson","2012-06-03"
"Strikeout","N","Sean Rodriguez","2012-06-03"
"Pop Out","N","Elliot Johnson","2012-06-03"
"Double","Y","Robert Andino","2012-06-03"
"Flyout","Y","Endy Chavez","2012-06-03"
"Single","Y","J.J. Hardy","2012-06-03"
"Pop Out","Y","Nick Johnson","2012-06-03"
"Single","Y","Matt Wieters","2012-06-03"
"Groundout","Y","Mark Reynolds","2012-06-03"
"Groundout","Y","Scott Podsednik","2012-06-03"
"Flyout","Y","Daniel Nava","2012-06-03"
"Double","Y","Adrian Gonzalez","2012-06-03"
"Flyout","Y","David Ortiz","2012-06-03"
"Walk","N","Kelly Johnson","2012-06-03"
"Walk","N","Yunel Escobar","2012-06-03"
"Home Run","N","Jose Bautista","2012-06-03"
"Walk","N","Edwin Encarnacion","2012-06-03"
"Grounded Into DP","N","David Cooper","2012-06-03"
"Flyout","N","Brett Lawrie","2012-06-03"
"Strikeout","Y","Kevin Youkilis","2012-06-03"
"Flyout","Y","Ryan Sweeney","2012-06-03"
"Single","Y","Mike Aviles","2012-06-03"
"Groundout","Y","Nick Punto","2012-06-03"
"Walk","N","Colby Rasmus","2012-06-03"
"Walk","N","J.P. Arencibia","2012-06-03"
"Strikeout","N","Rajai Davis","2012-06-03"
"Strikeout","N","Kelly Johnson","2012-06-03"
"Hit By Pitch","N","Yunel Escobar","2012-06-03"
"Walk","N","Jose Bautista","2012-06-03"
"Hit By Pitch","N","Edwin Encarnacion","2012-06-03"
"Pop Out","N","David Cooper","2012-06-03"
"Hit By Pitch","Y","Kelly Shoppach","2012-06-03"
"Flyout","Y","Scott Podsednik","2012-06-03"
"Forceout","Y","Daniel Nava","2012-06-03"
"Groundout","Y","Adrian Gonzalez","2012-06-03"
"Flyout","N","Brett Lawrie","2012-06-03"
"Field Error","N","Colby Rasmus","2012-06-03"
"Strikeout","N","J.P. Arencibia","2012-06-03"
"Strikeout","N","Rajai Davis","2012-06-03"
"Strikeout","Y","David Ortiz","2012-06-03"
"Strikeout","Y","Kevin Youkilis","2012-06-03"
"Flyout","Y","Ryan Sweeney","2012-06-03"
"Strikeout","N","Kelly Johnson","2012-06-03"
"Flyout","N","Yunel Escobar","2012-06-03"
"Groundout","N","Jose Bautista","2012-06-03"
"Lineout","Y","Mike Aviles","2012-06-03"
"Groundout","Y","Nick Punto","2012-06-03"
"Home Run","Y","Kelly Shoppach","2012-06-03"
"Single","Y","Scott Podsednik","2012-06-03"
"Walk","Y","Daniel Nava","2012-06-03"
"Pop Out","Y","Adrian Gonzalez","2012-06-03"
"Strikeout","N","Jeff Mathis","2012-06-03"
"Double","N","David Cooper","2012-06-03"
"Single","N","Brett Lawrie","2012-06-03"
"Pop Out","N","Colby Rasmus","2012-06-03"
"Pop Out","Y","David Ortiz","2012-06-03"
"Hit By Pitch","Y","Kevin Youkilis","2012-06-03"
"Strikeout","Y","Ryan Sweeney","2012-06-03"
"Single","Y","Mike Aviles","2012-06-03"
"Flyout","Y","Nick Punto","2012-06-03"
"Groundout","N","J.P. Arencibia","2012-06-03"
"Flyout","N","Rajai Davis","2012-06-03"
"Groundout","N","Kelly Johnson","2012-06-03"
"Strikeout","Y","Kelly Shoppach","2012-06-03"
"Groundout","Y","Scott Podsednik","2012-06-03"
"Groundout","Y","Daniel Nava","2012-06-03"
"Single","N","Yunel Escobar","2012-06-03"
"Grounded Into DP","N","Jose Bautista","2012-06-03"
"Strikeout","N","Jeff Mathis","2012-06-03"
"Groundout","Y","Adrian Gonzalez","2012-06-03"
"Strikeout","Y","David Ortiz","2012-06-03"
"Groundout","Y","Kevin Youkilis","2012-06-03"
"Single","N","David Cooper","2012-06-03"
"Single","N","Brett Lawrie","2012-06-03"
"Flyout","N","Colby Rasmus","2012-06-03"
"Strikeout","N","J.P. Arencibia","2012-06-03"
"Groundout","Y","Ryan Sweeney","2012-06-03"
"Flyout","Y","Mike Aviles","2012-06-03"
"Single","Y","Nick Punto","2012-06-03"
"Pop Out","Y","Jarrod Saltalamacchi","2012-06-03"
"Flyout","Y","Tony Campana","2012-06-03"
"Groundout","Y","Darwin Barney","2012-06-03"
"Strikeout","Y","Starlin Castro","2012-06-03"
"Groundout","N","Gregor Blanco","2012-06-03"
"Groundout","N","Ryan Theriot","2012-06-03"
"Strikeout","N","Melky Cabrera","2012-06-03"
"Walk","Y","Alfonso Soriano","2012-06-03"
"Grounded Into DP","Y","Jeff Baker","2012-06-03"
"Single","Y","Ian Stewart","2012-06-03"
"Flyout","Y","Reed Johnson","2012-06-03"
"Strikeout","N","Buster Posey","2012-06-03"
"Pop Out","N","Angel Pagan","2012-06-03"
"Strikeout","N","Hector Sanchez","2012-06-03"
"Flyout","Y","Koyie Hill","2012-06-03"
"Groundout","Y","Travis Wood","2012-06-03"
"Groundout","Y","Tony Campana","2012-06-03"
"Groundout","N","Joaquin Arias","2012-06-03"
"Strikeout","N","Brandon Crawford","2012-06-03"
"Strikeout","N","Barry Zito","2012-06-03"
"Groundout","Y","Darwin Barney","2012-06-03"
"Flyout","Y","Starlin Castro","2012-06-03"
"Strikeout","Y","Alfonso Soriano","2012-06-03"
"Groundout","N","Gregor Blanco","2012-06-03"
"Hit By Pitch","N","Ryan Theriot","2012-06-03"
"Grounded Into DP","N","Melky Cabrera","2012-06-03"
"Groundout","Y","Jeff Baker","2012-06-03"
"Single","Y","Ian Stewart","2012-06-03"
"Single","Y","Reed Johnson","2012-06-03"
"Strikeout - DP","Y","Koyie Hill","2012-06-03"
"Strikeout","N","Buster Posey","2012-06-03"
"Double","N","Angel Pagan","2012-06-03"
"Strikeout","N","Hector Sanchez","2012-06-03"
"Single","N","Joaquin Arias","2012-06-03"
"Walk","N","Brandon Crawford","2012-06-03"
"Groundout","N","Barry Zito","2012-06-03"
"Strikeout","Y","Travis Wood","2012-06-03"
"Strikeout","Y","Tony Campana","2012-06-03"
"Groundout","Y","Darwin Barney","2012-06-03"
"Bunt Groundout","N","Gregor Blanco","2012-06-03"
"Groundout","N","Ryan Theriot","2012-06-03"
"Groundout","N","Melky Cabrera","2012-06-03"
"Flyout","Y","Starlin Castro","2012-06-03"
"Groundout","Y","Alfonso Soriano","2012-06-03"
"Groundout","Y","Jeff Baker","2012-06-03"
"Double","N","Buster Posey","2012-06-03"
"Groundout","N","Angel Pagan","2012-06-03"
"Flyout","N","Hector Sanchez","2012-06-03"
"Intent Walk","N","Joaquin Arias","2012-06-03"
"Flyout","N","Brandon Crawford","2012-06-03"
"Pop Out","Y","Ian Stewart","2012-06-03"
"Single","Y","Reed Johnson","2012-06-03"
"Forceout","Y","Koyie Hill","2012-06-03"
"Forceout","Y","Joe Mather","2012-06-03"
"Groundout","N","Barry Zito","2012-06-03"
"Walk","N","Gregor Blanco","2012-06-03"
"Flyout","N","Ryan Theriot","2012-06-03"
"Single","N","Melky Cabrera","2012-06-03"
"Runner Out","N","Buster Posey","2012-06-03"
"Groundout","Y","Tony Campana","2012-06-03"
"Walk","Y","Darwin Barney","2012-06-03"
"Strikeout","Y","Starlin Castro","2012-06-03"
"Groundout","Y","Alfonso Soriano","2012-06-03"
"Strikeout","Y","Zack Cozart","2012-06-03"
"Strikeout","Y","Zachary Cozart","2012-06-03"
"Strikeout","Y","Zach Cozart","2012-06-03"
"Groundout","Y","Drew Stubbs","2012-06-03"
"Walk","Y","Joey Votto","2012-06-03"
"Runner Out","Y","Brandon Phillips","2012-06-03"
"Flyout","N","Jordan Schafer","2012-06-03"
"Groundout","N","Jose Altuve","2012-06-03"
"Strikeout","N","Fernando Martinez","2012-06-03"
"Pop Out","Y","Brandon Phillips","2012-06-03"
"Lineout","Y","Jay Bruce","2012-06-03"
"Groundout","Y","Chris Heisey","2012-06-03"
"Pop Out","N","J.D. Martinez","2012-06-03"
"Walk","N","Chris Johnson","2012-06-03"
"Single","N","Brett Wallace","2012-06-03"
"Sac Fly","N","Jason Castro","2012-06-03"
"Forceout","N","Marwin Gonzalez","2012-06-03"
"Pop Out","Y","Miguel Cairo","2012-06-03"
"Groundout","Y","Ryan Hanigan","2012-06-03"
"Single","Y","Bronson Arroyo","2012-06-03"
"Home Run","Y","Zack Cozart","2012-06-03"
"Home Run","Y","Zachary Cozart","2012-06-03"
"Home Run","Y","Zach Cozart","2012-06-03"
"Flyout","Y","Drew Stubbs","2012-06-03"
"Single","N","Jordan Lyles","2012-06-03"
"Forceout","N","Jordan Schafer","2012-06-03"
"Forceout","N","Jose Altuve","2012-06-03"
"Runner Out","N","Fernando Martinez","2012-06-03"
"Single","Y","Joey Votto","2012-06-03"
"Forceout","Y","Brandon Phillips","2012-06-03"
"Flyout","Y","Jay Bruce","2012-06-03"
"Flyout","Y","Chris Heisey","2012-06-03"
"Groundout","N","Fernando Martinez","2012-06-03"
"Groundout","N","J.D. Martinez","2012-06-03"
"Lineout","N","Chris Johnson","2012-06-03"
"Groundout","Y","Miguel Cairo","2012-06-03"
"Single","Y","Ryan Hanigan","2012-06-03"
"Grounded Into DP","Y","Bronson Arroyo","2012-06-03"
